target,split,domain,n,positive_fraction
d_u,train,pf,36585,0.05627989613229466
d_u,train,npf,36383,0.049885935739218866
d_u,calibration,pf,10398,0.05260627043662243
d_u,calibration,npf,13365,0.04998129442573887
d_u,test,pf,13017,0.04832142582776369
d_u,test,npf,10252,0.0778384705423332
grad_mag_km,train,pf,30015,0.054739297018157586
grad_mag_km,train,npf,42576,0.053715708380308154
grad_mag_km,calibration,pf,17519,0.04440892745019693
grad_mag_km,calibration,npf,6181,0.07636304805047726
grad_mag_km,test,pf,12466,0.0482111342852559
grad_mag_km,test,npf,11243,0.024192831094903496
