target,boundary_transition_km,tlrts_impact_km,npf_transition_vs_interior_density_ratio,pf_interior_impacted_vs_background_density_ratio,pf_transition_vs_interior_density_ratio,npf_interior_retained_pct,pf_interior_background_retained_pct,refit_metrics_status
d_u,3.0,1.0,4.90129194895226,2.6622065680181914,0.38872100506449536,76.92346148077789,55.60336201721032,density-only sensitivity; ALE refits not recomputed
grad_mag_km,3.0,1.0,5.116660960356802,1.5275418092822814,0.7686945589404346,76.92346148077789,55.60336201721032,density-only sensitivity; ALE refits not recomputed
d_u,3.0,2.0,4.90129194895226,2.707093253968254,0.37794219090257397,76.92346148077789,43.68621172703622,density-only sensitivity; ALE refits not recomputed
grad_mag_km,3.0,2.0,5.116660960356802,1.6759838489535943,0.7992905609752882,76.92346148077789,43.68621172703622,density-only sensitivity; ALE refits not recomputed
d_u,3.0,3.0,4.90129194895226,2.7584916123665604,0.3007633587786259,76.92346148077789,34.49569741845107,density-only sensitivity; ALE refits not recomputed
grad_mag_km,3.0,3.0,5.116660960356802,1.7307498514368636,0.8155287793101128,76.92346148077789,34.49569741845107,density-only sensitivity; ALE refits not recomputed
d_u,3.0,5.0,4.90129194895226,3.0399767979267818,0.31942615167851013,76.92346148077789,21.968180908545126,density-only sensitivity; ALE refits not recomputed
grad_mag_km,3.0,5.0,5.116660960356802,1.6074317470118642,0.8136960916442048,76.92346148077789,21.968180908545126,density-only sensitivity; ALE refits not recomputed
d_u,5.0,1.0,4.2974988094968145,2.48918751680592,0.39110109358043244,68.65470179473078,46.87812687612568,density-only sensitivity; ALE refits not recomputed
grad_mag_km,5.0,1.0,4.930565508757626,1.4978490737016805,0.8055272177072708,68.65470179473078,46.87812687612568,density-only sensitivity; ALE refits not recomputed
d_u,5.0,2.0,4.2974988094968145,2.562554042369217,0.3858488682551223,68.65470179473078,36.49689813888333,density-only sensitivity; ALE refits not recomputed
grad_mag_km,5.0,2.0,4.930565508757626,1.6977958995714708,0.8598572588345762,68.65470179473078,36.49689813888333,density-only sensitivity; ALE refits not recomputed
d_u,5.0,3.0,4.2974988094968145,2.5809868212010714,0.32133492073060466,68.65470179473078,28.447068240944567,density-only sensitivity; ALE refits not recomputed
grad_mag_km,5.0,3.0,4.930565508757626,1.8038545255866827,0.9170404276234948,68.65470179473078,28.447068240944567,density-only sensitivity; ALE refits not recomputed
d_u,5.0,5.0,4.2974988094968145,2.817801433945763,0.3260426608367706,68.65470179473078,17.640584350610368,density-only sensitivity; ALE refits not recomputed
grad_mag_km,5.0,5.0,4.930565508757626,1.6684876865325036,0.9114665734794649,68.65470179473078,17.640584350610368,density-only sensitivity; ALE refits not recomputed
d_u,7.0,1.0,3.7387403615000387,2.3663291815044563,0.38804374357797566,62.020696895465676,39.64878927356414,density-only sensitivity; ALE refits not recomputed
grad_mag_km,7.0,1.0,4.438445675249677,1.4435670874510644,0.8944873824664425,62.020696895465676,39.64878927356414,density-only sensitivity; ALE refits not recomputed
d_u,7.0,2.0,3.7387403615000387,2.373525223345326,0.35907937948895946,62.020696895465676,30.583350010006004,density-only sensitivity; ALE refits not recomputed
grad_mag_km,7.0,2.0,4.438445675249677,1.5986026641487776,0.9057271069864354,62.020696895465676,30.583350010006004,density-only sensitivity; ALE refits not recomputed
d_u,7.0,3.0,3.7387403615000387,2.364093335762652,0.2934185833271378,62.020696895465676,23.69421652991795,density-only sensitivity; ALE refits not recomputed
grad_mag_km,7.0,3.0,4.438445675249677,1.6468826822118008,0.9032927461930482,62.020696895465676,23.69421652991795,density-only sensitivity; ALE refits not recomputed
d_u,7.0,5.0,3.7387403615000387,2.5418741723089546,0.2849485342803828,62.020696895465676,14.353612167300382,density-only sensitivity; ALE refits not recomputed
grad_mag_km,7.0,5.0,4.438445675249677,1.4860541567413939,0.8519673348181145,62.020696895465676,14.353612167300382,density-only sensitivity; ALE refits not recomputed
d_u,10.0,1.0,3.3302217114009567,2.116656583988707,0.463232330082091,54.02189671549268,30.00800480288173,density-only sensitivity; ALE refits not recomputed
grad_mag_km,10.0,1.0,3.8955132884946955,1.3470176068990298,0.8968461769748979,54.02189671549268,30.00800480288173,density-only sensitivity; ALE refits not recomputed
d_u,10.0,2.0,3.3302217114009567,2.0432253241899314,0.3971488369456971,54.02189671549268,22.828697218330998,density-only sensitivity; ALE refits not recomputed
grad_mag_km,10.0,2.0,3.8955132884946955,1.494370662325422,0.8895686140579308,54.02189671549268,22.828697218330998,density-only sensitivity; ALE refits not recomputed
d_u,10.0,3.0,3.3302217114009567,2.0494758575328818,0.33358450255285177,54.02189671549268,17.50550330198119,density-only sensitivity; ALE refits not recomputed
grad_mag_km,10.0,3.0,3.8955132884946955,1.5092848535694003,0.8581940072762948,54.02189671549268,17.50550330198119,density-only sensitivity; ALE refits not recomputed
d_u,10.0,5.0,3.3302217114009567,2.1245612937355305,0.28502051231960146,54.02189671549268,10.381228737242346,density-only sensitivity; ALE refits not recomputed
grad_mag_km,10.0,5.0,3.8955132884946955,1.300416533620554,0.7588564150827588,54.02189671549268,10.381228737242346,density-only sensitivity; ALE refits not recomputed
